ERI Job Id,Position,Database,Category,No. of Incumbents,Mean,10th Percentile,25th Percentile,Median,75th Percentile,90th Percentile,Rate of Error
52,Operations Manager,Survey Participant Databases,Total Direct Annual Compensation,"1,602"," 93,718 "," 33,964 "," 55,624 "," 78,144 "," 250,263 "," 415,810 ",1.3
91,Customer Service Manager,Public Databases,Annual Salary,," 102,610 "," 62,210 "," 77,822 "," 101,407 "," 134,066 "," 153,662 ",
91,Customer Service Manager,Public Databases,Incentive/Variable Pay,,  ," 4,224 "," 5,529 "," 6,886 "," 8,694 "," 10,433 ",
91,Customer Service Manager,Public Databases,Total Direct Annual Compensation,," 102,610 "," 66,434 "," 83,351 "," 108,293 "," 142,760 "," 164,095 ",
91,Customer Service Manager,ERI Assessor Databases,Annual Salary,," 100,956 "," 83,575 "," 91,123 "," 99,693 "," 110,800 "," 120,610 ",
91,Customer Service Manager,ERI Assessor Databases,Incentive/Variable Pay,," 8,429 "," 7,009 "," 7,634 "," 8,344 "," 9,265 "," 10,080 ",
91,Customer Service Manager,ERI Assessor Databases,Total Direct Annual Compensation,," 109,385 "," 90,584 "," 98,757 "," 108,037 "," 120,065 "," 130,690 ",
91,Customer Service Manager,Survey Participant Databases,Annual Salary,," 73,535 "," 37,518 "," 51,443 "," 65,920 "," 118,624 "," 169,315 ",
91,Customer Service Manager,Survey Participant Databases,Incentive/Variable Pay,," 11,337 "," 1,003 "," 4,093 "," 7,305 "," 28,044 "," 47,991 ",
91,Customer Service Manager,Survey Participant Databases,Total Direct Annual Compensation,390," 84,872 "," 38,521 "," 55,536 "," 73,225 "," 146,668 "," 217,306 ",1.8
100,Dispatcher,Public Databases,Annual Salary,," 48,957 "," 32,265 "," 38,372 "," 48,286 "," 62,133 "," 70,441 ",
100,Dispatcher,Public Databases,Incentive/Variable Pay,,  , 500 , 622 , 748 , 923 ," 1,091 ",
100,Dispatcher,Public Databases,Total Direct Annual Compensation,," 48,957 "," 32,765 "," 38,994 "," 49,034 "," 63,056 "," 71,532 ",
100,Dispatcher,ERI Assessor Databases,Annual Salary,," 47,174 "," 40,418 "," 43,248 "," 46,457 "," 50,628 "," 54,308 ",
100,Dispatcher,ERI Assessor Databases,Incentive/Variable Pay,, 759 , 654 , 699 , 751 , 819 , 878 ,
100,Dispatcher,ERI Assessor Databases,Total Direct Annual Compensation,," 47,933 "," 41,072 "," 43,947 "," 47,208 "," 51,447 "," 55,186 ",
100,Dispatcher,Survey Participant Databases,Annual Salary,," 89,828 "," 19,322 "," 44,892 "," 71,477 "," 117,045 "," 160,873 ",
100,Dispatcher,Survey Participant Databases,Incentive/Variable Pay,," 6,011 ", 111 ," 3,141 "," 6,291 "," 7,998 "," 9,641 ",
100,Dispatcher,Survey Participant Databases,Total Direct Annual Compensation,"1,196"," 95,839 "," 19,433 "," 48,033 "," 77,768 "," 125,043 "," 170,514 ",1.5
101,Customer Service Representative (General Calls),Public Databases,Annual Salary,," 49,961 "," 33,503 "," 39,541 "," 49,286 "," 62,695 "," 70,740 ",
101,Customer Service Representative (General Calls),Public Databases,Incentive/Variable Pay,,  , 609 , 751 , 897 ," 1,096 "," 1,287 ",
101,Customer Service Representative (General Calls),Public Databases,Total Direct Annual Compensation,," 49,961 "," 34,112 "," 40,292 "," 50,183 "," 63,791 "," 72,027 ",
101,Customer Service Representative (General Calls),ERI Assessor Databases,Annual Salary,," 41,054 "," 34,711 "," 37,374 "," 40,396 "," 44,316 "," 47,778 ",
101,Customer Service Representative (General Calls),ERI Assessor Databases,Incentive/Variable Pay,," 1,341 "," 1,141 "," 1,227 "," 1,326 "," 1,455 "," 1,567 ",
101,Customer Service Representative (General Calls),ERI Assessor Databases,Total Direct Annual Compensation,," 42,395 "," 35,852 "," 38,601 "," 41,722 "," 45,771 "," 49,345 ",
101,Customer Service Representative (General Calls),Survey Participant Databases,Annual Salary,," 43,828 "," 22,192 "," 31,771 "," 41,731 "," 60,921 "," 79,377 ",
101,Customer Service Representative (General Calls),Survey Participant Databases,Incentive/Variable Pay,," 3,101 ", 543 ," 1,572 "," 2,642 "," 6,414 "," 10,042 ",
101,Customer Service Representative (General Calls),Survey Participant Databases,Total Direct Annual Compensation,"1,163"," 46,929 "," 22,735 "," 33,343 "," 44,373 "," 67,335 "," 89,419 ",0.6
228,Warehouse Supervisor,Public Databases,Annual Salary,," 73,481 "," 46,879 "," 56,793 "," 72,571 "," 94,663 "," 107,918 ",
228,Warehouse Supervisor,Public Databases,Incentive/Variable Pay,,  ," 1,359 "," 1,725 "," 2,105 "," 2,627 "," 3,129 ",
228,Warehouse Supervisor,Public Databases,Total Direct Annual Compensation,," 73,481 "," 48,238 "," 58,518 "," 74,676 "," 97,290 "," 111,047 ",
228,Warehouse Supervisor,ERI Assessor Databases,Annual Salary,," 65,127 "," 54,592 "," 59,107 "," 64,225 "," 70,879 "," 76,749 ",
228,Warehouse Supervisor,ERI Assessor Databases,Incentive/Variable Pay,," 2,155 "," 1,813 "," 1,964 "," 2,134 "," 2,355 "," 2,550 ",
228,Warehouse Supervisor,ERI Assessor Databases,Total Direct Annual Compensation,," 67,282 "," 56,405 "," 61,071 "," 66,359 "," 73,234 "," 79,299 ",
228,Warehouse Supervisor,Survey Participant Databases,Annual Salary,," 58,463 "," 32,014 "," 45,246 "," 59,004 "," 87,593 "," 115,090 ",
228,Warehouse Supervisor,Survey Participant Databases,Incentive/Variable Pay,," 4,265 ", 134 ," 2,010 "," 3,961 "," 7,192 "," 10,300 ",
228,Warehouse Supervisor,Survey Participant Databases,Total Direct Annual Compensation,761," 62,728 "," 32,148 "," 47,256 "," 62,965 "," 94,785 "," 125,390 ",0.7
801,Inventory Clerk,Public Databases,Annual Salary,," 47,455 "," 32,253 "," 37,798 "," 46,805 "," 59,126 "," 66,518 ",
801,Inventory Clerk,Public Databases,Incentive/Variable Pay,,  , 461 , 563 , 669 , 813 , 951 ,
801,Inventory Clerk,Public Databases,Total Direct Annual Compensation,," 47,455 "," 32,714 "," 38,361 "," 47,474 "," 59,939 "," 67,469 ",
801,Inventory Clerk,ERI Assessor Databases,Annual Salary,," 41,667 "," 36,062 "," 38,378 "," 41,008 "," 44,418 "," 47,431 ",
801,Inventory Clerk,ERI Assessor Databases,Incentive/Variable Pay,, 799 , 696 , 740 , 792 , 856 , 914 ,
801,Inventory Clerk,ERI Assessor Databases,Total Direct Annual Compensation,," 42,466 "," 36,758 "," 39,118 "," 41,800 "," 45,274 "," 48,345 ",
801,Inventory Clerk,Survey Participant Databases,Annual Salary,," 40,836 "," 25,358 "," 31,357 "," 37,595 "," 55,874 "," 73,455 ",
801,Inventory Clerk,Survey Participant Databases,Incentive/Variable Pay,," 2,333 ", 515 , 993 ," 1,492 "," 8,220 "," 14,690 ",
801,Inventory Clerk,Survey Participant Databases,Total Direct Annual Compensation,328," 43,169 "," 25,873 "," 32,350 "," 39,087 "," 64,094 "," 88,145 ",1.3
849,Machine Operator,Public Databases,Annual Salary,," 54,941 "," 36,604 "," 43,323 "," 54,205 "," 69,271 "," 78,311 ",
849,Machine Operator,Public Databases,Incentive/Variable Pay,,  , 603 , 746 , 894 ," 1,097 "," 1,292 ",
849,Machine Operator,Public Databases,Total Direct Annual Compensation,," 54,941 "," 37,207 "," 44,069 "," 55,099 "," 70,368 "," 79,603 ",
849,Machine Operator,ERI Assessor Databases,Annual Salary,," 44,472 "," 37,014 "," 40,173 "," 43,777 "," 48,407 "," 52,514 ",
849,Machine Operator,ERI Assessor Databases,Incentive/Variable Pay,, 876 , 737 , 798 , 867 , 957 ," 1,037 ",
849,Machine Operator,ERI Assessor Databases,Total Direct Annual Compensation,," 45,348 "," 37,751 "," 40,971 "," 44,644 "," 49,364 "," 53,551 ",
849,Machine Operator,Survey Participant Databases,Annual Salary,," 46,303 "," 27,851 "," 35,889 "," 44,246 "," 65,337 "," 85,621 ",
849,Machine Operator,Survey Participant Databases,Incentive/Variable Pay,," 2,109 ", 103 , 763 ," 1,450 "," 13,005 "," 24,120 ",
849,Machine Operator,Survey Participant Databases,Total Direct Annual Compensation,"3,808"," 48,412 "," 27,954 "," 36,652 "," 45,696 "," 78,342 "," 109,741 ",0.3
